B,Delta,h,Sigma_D_D,Sigma_D_h,tau_sf_inv,tau_so_inv,x_N,G_N,Sigma_GN,Gamma,Sigma_Gamma,T
2.0,0.2814360771221215,0.1402777674696374,1.6965904786822602e-06,8.330680181650479e-07,0.0459042345571715,0.0049112310663594,0.0021786757422421,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
4.0,0.2831487456636398,0.1433314500417837,1.982539259267563e-06,7.271041140658116e-07,0.0459042345571715,0.0049112310663594,0.0054466741256494,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
6.0,0.2822094428466098,0.1480063151878418,1.621152575375906e-06,7.546708019692877e-07,0.0459042345571715,0.0049112310663594,0.0052651178137959,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
8.0,0.2815236317049443,0.1522338652435479,1.452742650988385e-06,7.015807108658686e-07,0.0459042345571715,0.0049112310663594,0.0081700340334086,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
10.0,0.2828034026487125,0.1546503966237546,1.585641885216472e-06,6.369502179383511e-07,0.0459042345571715,0.0049112310663594,0.0123458444359968,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
12.0,0.2817360323563215,0.1593012052076969,1.3144910708352218e-06,6.721100253897632e-07,0.0459042345571715,0.0049112310663594,0.0141613923245756,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
14.0,0.2828935842198214,0.1613495521859758,1.4807980704567151e-06,6.491985352711972e-07,0.0459042345571715,0.0049112310663594,0.0172477734763031,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
16.0,0.2835075089824319,0.1629120208556149,1.5340479424678871e-06,5.913221371546939e-07,0.0459042345571715,0.0049112310663594,0.0255994247413921,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
18.0,0.2825350050381179,0.1666319110687606,1.3569469247890775e-06,5.57301182357712e-07,0.0459042345571715,0.0049112310663594,0.0277780700237211,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
20.0,0.2833086400275007,0.1683109900489666,1.5052569811882132e-06,5.613739710062298e-07,0.0459042345571715,0.0049112310663594,0.0363112623707068,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
22.0,0.2842439251224968,0.1702685917798974,1.6716991510724666e-06,5.124304636945324e-07,0.0459042345571715,0.0049112310663594,0.0442996791724362,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
24.0,0.2827895134157703,0.1737432120626089,1.150836129327613e-06,5.496397837383148e-07,0.0459042345571715,0.0049112310663594,0.0535591881465755,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
26.0,0.2832840644042824,0.1751375882418553,1.254035871458722e-06,5.253046038119544e-07,0.0459042345571715,0.0049112310663594,0.0657233544310669,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
28.0,0.2841128432027422,0.1767713046817518,1.438155963179677e-06,5.415745020219501e-07,0.0459042345571715,0.0049112310663594,0.075164252187538,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
30.0,0.2825713334290217,0.1800200422864109,1.1186685608463556e-06,4.057451351424044e-07,0.0459042345571715,0.0049112310663594,0.0895070637543584,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
32.0,0.2833426314710818,0.1814405661561518,1.1409700010874522e-06,4.489999379762738e-07,0.0459042345571715,0.0049112310663594,0.1091153281940191,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
34.0,0.2844395153644191,0.1832684203805858,1.1778575590166409e-06,4.003576213110053e-07,0.0459042345571715,0.0049112310663594,0.1307205445345465,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
36.0,0.2831911752110062,0.1860342174755933,8.263008080075548e-07,4.035834070478129e-07,0.0459042345571715,0.0049112310663594,0.1532331616854281,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
38.0,0.2842732429944543,0.1871896559291871,8.404798247226576e-07,4.2619114302967474e-07,0.0459042345571715,0.0049112310663594,0.184824660525944,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
40.0,0.2860469078376132,0.1889528184132862,9.331285751482056e-07,3.906072493237402e-07,0.0459042345571715,0.0049112310663594,0.3714632088752046,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
42.0,0.2910272452458213,0.1936747938327669,1.312199273470619e-06,6.679335942318588e-07,0.0459042345571715,0.0049112310663594,0.7796031990779543,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
44.0,0.2911763677714137,0.1945601258634102,1.3964464868122222e-06,6.295452805800718e-07,0.0459042345571715,0.0049112310663594,0.8150067560391806,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
46.0,0.2919367821633628,0.1942335507364882,1.8860352495241504e-06,9.461406959345452e-07,0.0459042345571715,0.0049112310663594,0.8516820143710696,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
48.0,0.293026370809468,0.195158405800404,2.8335874122171068e-06,1.436856090351435e-06,0.0459042345571715,0.0049112310663594,0.8914413389013006,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
50.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,0.9471799338280326,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
52.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0223428153194838,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
54.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0150811720436037,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
56.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0216163463927634,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
58.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0141734666341171,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
60.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.024703458582405,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
62.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.0136282341901628,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
64.0,0.0,0.0,0.0,0.0,0.0459042345571715,0.0049112310663594,1.013809470672929,0.1694870723994384,0.0015276334689203995,1.0893378711212208e-05,4.746627989835653e-10,0.0034468
